1,DINOSAUR
2,빨간 맛 (Red Flavor)
3,비도 오고 그래서 (Feat. 신용재)
4,Ko Ko Bop
5,Artist
6,MY DARLING
7,마지막처럼
8,널 너무 모르고
9,남이 될 수 있을까
10,Shape Of You
11,나로 말할 것 같으면 (Yes I am)
12,FIVE
13,전야 (前夜) (The Eve)
14,처음부터 너와 나
15,Why Don't You Know (Feat. 넉살)
16,매일 듣는 노래 (A Daily Song)
17,FANXY CHILD (Feat. FANXY CHILD)
18,무제(無題) (Untitled, 2014)
19,기억을 걷는 밤 (Walk On Memories)
20,밤편지
21,What U do?
22,팔레트 (Feat. G-DRAGON)
23,Forever
24,ANTI (Feat. G.Soul)
25,오늘 취하면 (Feat. 창모) (Prod. by SUGA)
26,REALLY REALLY
27,있잖아
28,너의 손짓 (Touch It)
29,좋니
30,다이아몬드 (Diamond)
31,SIGNAL
32,Something Just Like This
33,New Face
34,내가 미쳐 (Going Crazy)
35,소름 (Chill)
36,NEVER
37,첫눈처럼 너에게 가겠다
38,먹구름 (Feat. nafla)
39,좋다고 말해
40,사랑이 잘 (With 오혁)
41,BLUE MOON (Prod. by GroovyRoom)
42,Closer (Feat. Halsey)
43,TOMBOY
44,Outside (Feat. Beenzino)
45,I LUV IT
46,Marry Me
47,The Ocean (Feat. Shy Martin) (Radio Edit)
48,D (half moon) (Feat. 개코)
49,미치고 싶다
50,널 사랑하지 않아