1,비도 오고 그래서(Feat. 신용재)
2,빨간 맛 (Red Flavor)
3,널 너무 모르고
4,Artist
5,마지막처럼
6,남이 될 수 있을까
7,매일 듣는 노래 (A Daily Song)
8,나로 말할 것 같으면 (Yes I am)
9,Ko Ko Bop
10,무제(無題) (Untitled, 2014)
11,FIVE
12,처음부터 너와 나
13,New Face
14,Shape of You
15,SIGNAL
16,FANXY CHILD(Feat. FANXY CHILD)
17,Why Don`t You Know(Feat. 넉살)
18,밤편지
19,첫눈처럼 너에게 가겠다
20,Rainy Eyes
21,REALLY REALLY
22,Incredible(Feat. Quincy)
23,I LUV IT
24,팔레트(Feat. G-DRAGON)
25,오늘 취하면 (Prod. SUGA)(Feat. 창모)
26,전야 (前夜) (The Eve)
27,Marry Me
28,좋니
29,좋다고 말해
30,DINOSAUR
31,사랑이 잘(With 오혁)
32,NEVER
33,미치고 싶다
34,KNOCK KNOCK
35,우주를 줄게
36,불장난
37,돌아오지마 (Feat. 용준형 of 비스트)
38,나만 안되는 연애
39,먹구름(Feat. nafla)
40,ANTI(Feat. G.Soul)
41,What U do?
42,BLUE MOON (Prod. GroovyRoom)
43,All I Wanna Do (K) (Feat. Hoody, Loco)
44,Closer(Feat. Halsey)
45,오빠야
46,너였다면
47,Something Just Like This
48,맞지?
49,Forever
50,너의 손짓 (Touch It)